Primer Documento,Segundo Documento,Similaridad Coseno
Documento_2_0.csv,Documento_2_1.csv,0.05324822565535062
Documento_2_0.csv,Documento_2_2.csv,0.0037761789479448214
Documento_2_0.csv,Documento_2_3.csv,0.03421012510846654
Documento_2_0.csv,Documento_2_4.csv,0.0735048083665456
Documento_2_0.csv,Documento_2_5.csv,0.009060023871184625
Documento_2_0.csv,Documento_2_6.csv,0.03953519895384884
Documento_2_0.csv,Documento_2_7.csv,0
Documento_2_0.csv,Documento_2_8.csv,0.016020502439696008
Documento_2_0.csv,Documento_2_9.csv,0.023286591990869285
Documento_2_0.csv,Documento_2_10.csv,0
Documento_2_1.csv,Documento_2_0.csv,0.05324822565535062
Documento_2_1.csv,Documento_2_2.csv,0.011347697825401168
Documento_2_1.csv,Documento_2_3.csv,0.01818619572654541
Documento_2_1.csv,Documento_2_4.csv,0.0013324537641852116
Documento_2_1.csv,Documento_2_5.csv,0.007289231113291068
Documento_2_1.csv,Documento_2_6.csv,0.08879644357052578
Documento_2_1.csv,Documento_2_7.csv,0.03346857942629771
Documento_2_1.csv,Documento_2_8.csv,0.10797684356697546
Documento_2_1.csv,Documento_2_9.csv,0.0647000306902341
Documento_2_1.csv,Documento_2_10.csv,0
Documento_2_2.csv,Documento_2_0.csv,0.0037761789479448214
Documento_2_2.csv,Documento_2_1.csv,0.011347697825401168
Documento_2_2.csv,Documento_2_3.csv,0.0008841633959719452
Documento_2_2.csv,Documento_2_4.csv,0.008150534308407634
Documento_2_2.csv,Documento_2_5.csv,0.05984722182914348
Documento_2_2.csv,Documento_2_6.csv,0.032319633708155646
Documento_2_2.csv,Documento_2_7.csv,0.07284696950698474
Documento_2_2.csv,Documento_2_8.csv,0.023831042780260603
Documento_2_2.csv,Documento_2_9.csv,0.08373090868855924
Documento_2_2.csv,Documento_2_10.csv,0
Documento_2_3.csv,Documento_2_0.csv,0.03421012510846654
Documento_2_3.csv,Documento_2_1.csv,0.01818619572654541
Documento_2_3.csv,Documento_2_2.csv,0.0008841633959719452
Documento_2_3.csv,Documento_2_4.csv,0.02538785485531277
Documento_2_3.csv,Documento_2_5.csv,0.034155613185359805
Documento_2_3.csv,Documento_2_6.csv,0.024565381544539806
Documento_2_3.csv,Documento_2_7.csv,0.011088507948742473
Documento_2_3.csv,Documento_2_8.csv,0.019372705493661435
Documento_2_3.csv,Documento_2_9.csv,0.04855106275693064
Documento_2_3.csv,Documento_2_10.csv,0
Documento_2_4.csv,Documento_2_0.csv,0.07350480836654559
Documento_2_4.csv,Documento_2_1.csv,0.0013324537641852116
Documento_2_4.csv,Documento_2_2.csv,0.008150534308407634
Documento_2_4.csv,Documento_2_3.csv,0.02538785485531277
Documento_2_4.csv,Documento_2_5.csv,0.008346842774551357
Documento_2_4.csv,Documento_2_6.csv,0.0020719909438910774
Documento_2_4.csv,Documento_2_7.csv,0
Documento_2_4.csv,Documento_2_8.csv,0.03445617523931621
Documento_2_4.csv,Documento_2_9.csv,0.04351233612850923
Documento_2_4.csv,Documento_2_10.csv,0
Documento_2_5.csv,Documento_2_0.csv,0.009060023871184625
Documento_2_5.csv,Documento_2_1.csv,0.007289231113291068
Documento_2_5.csv,Documento_2_2.csv,0.05984722182914348
Documento_2_5.csv,Documento_2_3.csv,0.0341556131853598
Documento_2_5.csv,Documento_2_4.csv,0.008346842774551357
Documento_2_5.csv,Documento_2_6.csv,0.07211607467828351
Documento_2_5.csv,Documento_2_7.csv,0.02675203525717962
Documento_2_5.csv,Documento_2_8.csv,0.043094530754715046
Documento_2_5.csv,Documento_2_9.csv,0.054841779832163415
Documento_2_5.csv,Documento_2_10.csv,0
Documento_2_6.csv,Documento_2_0.csv,0.03953519895384884
Documento_2_6.csv,Documento_2_1.csv,0.08879644357052578
Documento_2_6.csv,Documento_2_2.csv,0.03231963370815564
Documento_2_6.csv,Documento_2_3.csv,0.024565381544539806
Documento_2_6.csv,Documento_2_4.csv,0.0020719909438910774
Documento_2_6.csv,Documento_2_5.csv,0.07211607467828351
Documento_2_6.csv,Documento_2_7.csv,0.01981679534955589
Documento_2_6.csv,Documento_2_8.csv,0.01658254986389943
Documento_2_6.csv,Documento_2_9.csv,0.058613143342452045
Documento_2_6.csv,Documento_2_10.csv,0
Documento_2_7.csv,Documento_2_0.csv,0
Documento_2_7.csv,Documento_2_1.csv,0.03346857942629771
Documento_2_7.csv,Documento_2_2.csv,0.07284696950698474
Documento_2_7.csv,Documento_2_3.csv,0.011088507948742473
Documento_2_7.csv,Documento_2_4.csv,0
Documento_2_7.csv,Documento_2_5.csv,0.02675203525717962
Documento_2_7.csv,Documento_2_6.csv,0.01981679534955589
Documento_2_7.csv,Documento_2_8.csv,0.0439075162795783
Documento_2_7.csv,Documento_2_9.csv,0.009103640939053937
Documento_2_7.csv,Documento_2_10.csv,0
Documento_2_8.csv,Documento_2_0.csv,0.016020502439696008
Documento_2_8.csv,Documento_2_1.csv,0.10797684356697547
Documento_2_8.csv,Documento_2_2.csv,0.023831042780260603
Documento_2_8.csv,Documento_2_3.csv,0.019372705493661435
Documento_2_8.csv,Documento_2_4.csv,0.03445617523931621
Documento_2_8.csv,Documento_2_5.csv,0.043094530754715046
Documento_2_8.csv,Documento_2_6.csv,0.01658254986389943
Documento_2_8.csv,Documento_2_7.csv,0.0439075162795783
Documento_2_8.csv,Documento_2_9.csv,0.09319236617627835
Documento_2_8.csv,Documento_2_10.csv,0
Documento_2_9.csv,Documento_2_0.csv,0.023286591990869285
Documento_2_9.csv,Documento_2_1.csv,0.06470003069023408
Documento_2_9.csv,Documento_2_2.csv,0.08373090868855924
Documento_2_9.csv,Documento_2_3.csv,0.04855106275693064
Documento_2_9.csv,Documento_2_4.csv,0.04351233612850923
Documento_2_9.csv,Documento_2_5.csv,0.05484177983216342
Documento_2_9.csv,Documento_2_6.csv,0.058613143342452045
Documento_2_9.csv,Documento_2_7.csv,0.009103640939053937
Documento_2_9.csv,Documento_2_8.csv,0.09319236617627835
Documento_2_9.csv,Documento_2_10.csv,0
Documento_2_10.csv,Documento_2_0.csv,0
Documento_2_10.csv,Documento_2_1.csv,0
Documento_2_10.csv,Documento_2_2.csv,0
Documento_2_10.csv,Documento_2_3.csv,0
Documento_2_10.csv,Documento_2_4.csv,0
Documento_2_10.csv,Documento_2_5.csv,0
Documento_2_10.csv,Documento_2_6.csv,0
Documento_2_10.csv,Documento_2_7.csv,0
Documento_2_10.csv,Documento_2_8.csv,0
Documento_2_10.csv,Documento_2_9.csv,0
